filename,order,title,year,division,livre,series,volume,tome,no
lacomediehumaine_ferragus.txt,40,Ferragus,1833,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,Histoire des Treize,9,1,1
lacomediehumaine_laduchessedelangeais.txt,41,La Duchesse de Langeais,1834,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,Histoire des Treize,9,1,2
lacomediehumaine_lafilleauxyeuxdor.txt,42,La Fille aux yeux d'or,1835,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,Histoire des Treize,9,1,3
lacomediehumaine_leperegoriot.txt,43,Le PÌ¬re Goriot,1834,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,9,1,4
lacomediehumaine_lecolonelchabert.txt,44,Le Colonel Chabert,1832,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,10,2,1
lacomediehumaine_facinocane.txt,45,Facino Cane,1836,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,10,2,2
lacomediehumaine_lamessedelathee.txt,46,La Messe de l'athÌ©e,1836,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,10,2,3
lacomediehumaine_sarrasine.txt,47,Sarrasine,1830,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,10,2,4
lacomediehumaine_linterdiction.txt,48,L'Interdiction,1836,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,10,2,5
lacomediehumaine_histoiredelagrandeuretdeladecadencedecesarbirotteau.txt,49,Histoire de la grandeur et de la dÌ©cadence de CÌ©sar Birotteau,1837,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,10,2,6
lacomediehumaine_lamaisonnucingen.txt,50,La Maison Nucingen,1837,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,11,3,1
lacomediehumaine_pierregrassou.txt,51,Pierre Grassou,1839,I. Ìätudes de moeurs,III. ScÌ¬nes de la vie parisienne,,11,3,2
