CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Tony Stark / Iron Man,MCU,Iron Man 3,12-Apr-13,good,male,human hero,short,y
Pepper Potts,MCU,Iron Man 3,12-Apr-13,good,female,human,long,n
James Rhodes / War Machine,MCU,Iron Man 3,12-Apr-13,good,male,human hero,short,change
Aldrich Killian,MCU,Iron Man 3,12-Apr-13,bad,male,superhero,short,n
Maya Hansen,MCU,Iron Man 3,12-Apr-13,good,female,human,long,n
Happy Hogan,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Trevor Slattery,MCU,Iron Man 3,12-Apr-13,bad,male,human hero,short,y
Eric Savin,MCU,Iron Man 3,12-Apr-13,bad,male,human,bald,n
Ellen Brandt,MCU,Iron Man 3,12-Apr-13,bad,female,superhero,short,n
JARVIS,MCU,Iron Man 3,12-Apr-13,good,?,alien,NA,NA
President Ellis,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Harley Keener,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Vice President Rodriguez,MCU,Iron Man 3,12-Apr-13,bad,male,human,short,n
Doctor Wu,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Ho Yinsen,MCU,Iron Man 3,12-Apr-13,good,male,human,bald,y
Bill Maher,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Jack Taggart,MCU,Iron Man 3,12-Apr-13,bad,male,superhero,short,y
Stan Lee,MCU,Iron Man 3,12-Apr-13,good,male,human,short,y
Bruce Banner / Hulk,MCU,Iron Man 3,12-Apr-13,good,male,superhero,short,n
Mrs. Davis,MCU,Iron Man 3,12-Apr-13,good,female,human,long,n
Pat Kiernan,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Josh Elliott,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Megan Henderson,MCU,Iron Man 3,12-Apr-13,good,female,human,long,n
Thomas Roberts,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Joan Rivers,MCU,Iron Man 3,12-Apr-13,good,female,human,short,n
George Kotsiopoulos,MCU,Iron Man 3,12-Apr-13,good,male,human,short,n
Thomas Richards,MCU,Iron Man 3,12-Apr-13,bad,male,human,short,n
Miss Elk Ridge,MCU,Iron Man 3,12-Apr-13,good,female,human,long,n
Chad Davis,MCU,Iron Man 3,12-Apr-13,good,male,superhero,short,n
Heather,MCU,Iron Man 3,12-Apr-13,good,female,human,short,n
